"","model","year","anom","obs.prob","preind.prob","FAR"
"94","GFDL.CM3",1992,0.152491166438986,0.4,0.183333333333333,0.541666666666667
"95","GFDL.CM3",1993,0.713634372291098,0.183333333333333,0.0833333333333333,0.545454545454545
"96","GFDL.CM3",1994,0.30166005838468,0.35,0.133333333333333,0.619047619047619
"97","GFDL.CM3",1995,-0.136547867076718,0.516666666666667,0.3,0.419354838709677
"98","GFDL.CM3",1996,-0.166697355255671,0.566666666666667,0.316666666666667,0.441176470588235
"99","GFDL.CM3",1997,0.939123386929974,0.116666666666667,0.0833333333333333,0.285714285714286
"100","GFDL.CM3",1998,0.454095721090473,0.233333333333333,0.1,0.571428571428571
"101","GFDL.CM3",1999,-1.04565272684706,0.883333333333333,0.716666666666667,0.188679245283019
"102","GFDL.CM3",2000,-0.345132821298843,0.633333333333333,0.383333333333333,0.394736842105263
"103","GFDL.CM3",2001,-0.619659713006213,0.766666666666667,0.516666666666667,0.326086956521739
"104","GFDL.CM3",2002,0.284724865263887,0.383333333333333,0.133333333333333,0.652173913043478
"105","GFDL.CM3",2003,0.73390677675377,0.166666666666667,0.0833333333333333,0.5
"106","GFDL.CM3",2004,0.749672287118091,0.15,0.0833333333333333,0.444444444444444
"107","GFDL.CM3",2005,1.16169114679827,0.1,0.0333333333333333,0.666666666666667
"108","GFDL.CM3",2006,-0.201629806877698,0.583333333333333,0.316666666666667,0.457142857142857
"109","GFDL.CM3",2007,-0.824393603474314,0.816666666666667,0.633333333333333,0.224489795918367
"110","GFDL.CM3",2008,-1.29597842313798,0.933333333333333,0.8,0.142857142857143
"111","GFDL.CM3",2009,-0.698555674079995,0.783333333333333,0.55,0.297872340425532
"112","GFDL.CM3",2010,-0.0301942274965837,0.466666666666667,0.266666666666667,0.428571428571429
"113","GFDL.CM3",2011,-0.540656884891217,0.7,0.466666666666667,0.333333333333333
"114","GFDL.CM3",2012,-1.09875526358379,0.9,0.75,0.166666666666667
"115","GFDL.CM3",2013,0.359511167845603,0.283333333333333,0.116666666666667,0.588235294117647
"116","GFDL.CM3",2014,1.82256839771351,0.0666666666666667,0,1
"117","GFDL.CM3",2015,1.91992081427929,0.05,0,1
"118","GFDL.CM3",2016,1.95547879438075,0.0333333333333333,0,1
"119","GFDL.CM3",2017,0.440752650178692,0.25,0.1,0.6
"120","GFDL.CM3",2018,1.33293179404422,0.0833333333333333,0.0333333333333333,0.6
"121","GFDL.CM3",2019,2.0870844545176,0.0166666666666667,0,1
"122","GFDL.CM3",2020,1.10094550174994,0.1,0.05,0.5
"123","GISS.E2.R",1960,-0.142901439099047,0.55,0.3,0.454545454545455
"124","GISS.E2.R",1961,0.294243159786132,0.366666666666667,0.266666666666667,0.272727272727273
"125","GISS.E2.R",1962,0.302220324234978,0.333333333333333,0.266666666666667,0.2
"126","GISS.E2.R",1963,0.856152070502329,0.133333333333333,0.116666666666667,0.125
"127","GISS.E2.R",1964,-0.542224108452301,0.716666666666667,0.516666666666667,0.27906976744186
"128","GISS.E2.R",1965,-0.910022437110546,0.85,0.7,0.176470588235294
"129","GISS.E2.R",1966,-0.788141416143686,0.8,0.616666666666667,0.229166666666667
"130","GISS.E2.R",1967,-0.140048355298039,0.533333333333333,0.3,0.4375
"131","GISS.E2.R",1968,-0.381324678186236,0.65,0.383333333333333,0.41025641025641
"132","GISS.E2.R",1969,-1.03450067017124,0.866666666666667,0.716666666666667,0.173076923076923
"133","GISS.E2.R",1970,-0.454134840295893,0.683333333333333,0.45,0.341463414634146
"134","GISS.E2.R",1971,-1.81815131579209,1,0.883333333333333,0.116666666666667
"135","GISS.E2.R",1972,-1.36153361354136,0.95,0.85,0.105263157894737
"136","GISS.E2.R",1973,-1.36362872713516,0.966666666666667,0.85,0.120689655172414
"137","GISS.E2.R",1974,-0.544627364198504,0.733333333333333,0.516666666666667,0.295454545454545
"138","GISS.E2.R",1975,-1.59985645048354,0.983333333333333,0.866666666666667,0.11864406779661
"139","GISS.E2.R",1976,-1.17813042608259,0.916666666666667,0.783333333333333,0.145454545454545
"140","GISS.E2.R",1977,0.00272401733757271,0.45,0.283333333333333,0.37037037037037
"141","GISS.E2.R",1978,-0.217138545703326,0.6,0.3,0.5
"142","GISS.E2.R",1979,0.380879030605877,0.266666666666667,0.233333333333333,0.125
"143","GISS.E2.R",1980,-0.245956162521962,0.616666666666667,0.3,0.513513513513514
"144","GISS.E2.R",1981,0.462447162411669,0.216666666666667,0.2,0.0769230769230769
"145","GISS.E2.R",1982,-0.837057019550365,0.833333333333333,0.65,0.22
"146","GISS.E2.R",1983,0.626917203677137,0.2,0.15,0.25
"147","GISS.E2.R",1984,0.336364000169171,0.3,0.266666666666667,0.111111111111111
"148","GISS.E2.R",1985,-0.589282287374645,0.75,0.533333333333333,0.288888888888889
"149","GISS.E2.R",1986,0.333415425091244,0.316666666666667,0.266666666666667,0.157894736842105
"150","GISS.E2.R",1987,0.0758441856779091,0.433333333333333,0.283333333333333,0.346153846153846
"151","GISS.E2.R",1988,-0.442483747791814,0.666666666666667,0.45,0.325
"152","GISS.E2.R",1989,0.0779782039873037,0.416666666666667,0.283333333333333,0.32
"153","GISS.E2.R",1990,-0.0385396897425241,0.483333333333333,0.283333333333333,0.413793103448276
"154","GISS.E2.R",1991,-0.132160999073242,0.5,0.3,0.4
"155","GISS.E2.R",1992,0.152491166438986,0.4,0.283333333333333,0.291666666666667
"156","GISS.E2.R",1993,0.713634372291098,0.183333333333333,0.133333333333333,0.272727272727273
"157","GISS.E2.R",1994,0.30166005838468,0.35,0.266666666666667,0.238095238095238
"158","GISS.E2.R",1995,-0.136547867076718,0.516666666666667,0.3,0.419354838709677
"159","GISS.E2.R",1996,-0.166697355255671,0.566666666666667,0.3,0.470588235294118
"160","GISS.E2.R",1997,0.939123386929974,0.116666666666667,0.1,0.142857142857143
"161","GISS.E2.R",1998,0.454095721090473,0.233333333333333,0.2,0.142857142857143
"162","GISS.E2.R",1999,-1.04565272684706,0.883333333333333,0.716666666666667,0.188679245283019
"163","GISS.E2.R",2000,-0.345132821298843,0.633333333333333,0.333333333333333,0.473684210526316
"164","GISS.E2.R",2001,-0.619659713006213,0.766666666666667,0.533333333333333,0.304347826086957
"165","GISS.E2.R",2002,0.284724865263887,0.383333333333333,0.266666666666667,0.304347826086957
"166","GISS.E2.R",2003,0.73390677675377,0.166666666666667,0.133333333333333,0.2
"167","GISS.E2.R",2004,0.749672287118091,0.15,0.133333333333333,0.111111111111111
"168","GISS.E2.R",2005,1.16169114679827,0.1,0.05,0.5
"169","GISS.E2.R",2006,-0.201629806877698,0.583333333333333,0.3,0.485714285714286
"170","GISS.E2.R",2007,-0.824393603474314,0.816666666666667,0.616666666666667,0.244897959183673
"171","GISS.E2.R",2008,-1.29597842313798,0.933333333333333,0.833333333333333,0.107142857142857
"172","GISS.E2.R",2009,-0.698555674079995,0.783333333333333,0.583333333333333,0.25531914893617
"173","GISS.E2.R",2010,-0.0301942274965837,0.466666666666667,0.283333333333333,0.392857142857143
"174","GISS.E2.R",2011,-0.540656884891217,0.7,0.516666666666667,0.261904761904762
"175","GISS.E2.R",2012,-1.09875526358379,0.9,0.766666666666667,0.148148148148148
"176","GISS.E2.R",2013,0.359511167845603,0.283333333333333,0.25,0.117647058823529
"177","GISS.E2.R",2014,1.82256839771351,0.0666666666666667,0.0166666666666667,0.75
"178","GISS.E2.R",2015,1.91992081427929,0.05,0.0166666666666667,0.666666666666667
"179","GISS.E2.R",2016,1.95547879438075,0.0333333333333333,0.0166666666666667,0.5
"180","GISS.E2.R",2017,0.440752650178692,0.25,0.216666666666667,0.133333333333333
"181","GISS.E2.R",2018,1.33293179404422,0.0833333333333333,0.0166666666666667,0.8
"182","GISS.E2.R",2019,2.0870844545176,0.0166666666666667,0,1
"183","GISS.E2.R",2020,1.10094550174994,0.1,0.0666666666666667,0.333333333333333
"184","IPSL.CM5A.LR",1960,-0.142901439099047,0.55,0.0666666666666667,0.878787878787879
"185","IPSL.CM5A.LR",1961,0.294243159786132,0.366666666666667,0.0166666666666667,0.954545454545455
"186","IPSL.CM5A.LR",1962,0.302220324234978,0.333333333333333,0.0166666666666667,0.95
"187","IPSL.CM5A.LR",1963,0.856152070502329,0.133333333333333,0,1
"188","IPSL.CM5A.LR",1964,-0.542224108452301,0.716666666666667,0.133333333333333,0.813953488372093
"189","IPSL.CM5A.LR",1965,-0.910022437110546,0.85,0.3,0.647058823529412
"190","IPSL.CM5A.LR",1966,-0.788141416143686,0.8,0.233333333333333,0.708333333333333
"191","IPSL.CM5A.LR",1967,-0.140048355298039,0.533333333333333,0.0666666666666667,0.875
"192","IPSL.CM5A.LR",1968,-0.381324678186236,0.65,0.0833333333333333,0.871794871794872
